,name,city,country,IATA,ICAO,Latitude,Longtitude,Altitude,geometry
6898,Vila Rica Airport,Vila Rica,Brazil,VLP,SWVC,-9.979443550109863,-51.1422233581543,892,POINT (-51.1422233581542969 -9.9794435501098633)
6899,Inácio Luís do Nascimento Airport,Juara,Brazil,JUA,SIZX,-11.2966,-57.5495,870,POINT (-57.5495000000000019 -11.2965999999999998)
6900,Cáceres Airport,Caceres,Brazil,CCX,SWKC,-16.04360008239746,-57.62990188598633,492,POINT (-57.6299018859863281 -16.0436000823974609)
6902,Tangará da Serra Airport,Tangara da Serra,Brazil,TGQ,SWTS,-14.6619997025,-57.4435005188,1460,POINT (-57.4435005188000005 -14.6619997024999993)
6903,Canarana Airport,Canarana,Brazil,CQA,SWEK,-13.574443817138672,-52.27055740356445,1314,POINT (-52.2705574035644531 -13.5744438171386719)
6904,Vila Bela da Santíssima Trindade Airport,Vila Bela da Santissima Trindade ,Brazil,MTG,SWVB,-14.9942,-59.9458,660,POINT (-59.9457999999999984 -14.9941999999999993)
6905,Bumbar Airport,Bumba,Congo (Kinshasa),BMB,FZFU,2.18278,22.481701,0,POINT (22.4817010000000010 2.1827800000000002)
6907,Arapiraca Airport,Arapiraca,Brazil,APQ,SNAL,-9.775360107421877,-36.62919998168945,886,POINT (-36.6291999816894531 -9.7753601074218768)
6908,Cangapara Airport,Floriano,Brazil,FLB,SNQG,-6.8463897705078125,-43.07730102539063,689,POINT (-43.0773010253906321 -6.8463897705078125)
6909,Picos Airport,Picos,Brazil,PCS,SNPC,-7.0620598793029785,-41.52370071411133,1050,POINT (-41.5237007141113281 -7.0620598793029785)
6910,Beni Airport,Beni,Congo (Kinshasa),BNC,FZNP,0.575,29.4739,3517,POINT (29.4739000000000004 0.5750000000000000)
6911,Boende Airport,Boende,Congo (Kinshasa),BNB,FZGN,-0.2169999927282333,20.850000381469727,1168,POINT (20.8500003814697266 -0.2169999927282333)
6912,Montauk Airport,Montauk,United States,MTP,KMTP,41.0765,-71.920797,6,POINT (-71.9207969999999932 41.0765000000000029)
6913,Porter County Municipal Airport,Valparaiso IN,United States,VPZ,KVPZ,41.45399857,-87.00710297,770,POINT (-87.0071029700000054 41.4539985700000031)
6914,Dharavandhoo Airport,DHARAVANDHOO,Maldives,DRV,VRMD,5.1561,73.1302,6,POINT (73.1302000000000021 5.1561000000000003)
6915,Saumlaki/Olilit Airport,Saumlaki,Indonesia,SXK,WAPI,-7.9886097908,131.305999756,218,POINT (131.3059997560000056 -7.9886097908000000)
6916,Cerro Largo International Airport,Melo,Uruguay,MLZ,SUMO,-32.33789825439453,-54.21670150756836,364,POINT (-54.2167015075683594 -32.3378982543945312)
6917,Tydeo Larre Borges Airport,Paysandu,Uruguay,PDU,SUPU,-32.36330032348633,-58.0619010925293,138,POINT (-58.0619010925292969 -32.3633003234863281)
6918,Artigas International Airport,Artigas ,Uruguay,ATI,SUAG,-30.40069961547852,-56.50790023803711,410,POINT (-56.5079002380371094 -30.4006996154785192)
6920,Horsham Airport,Horsham,Australia,HSM,YHSM,-36.669700622558594,142.17300415039062,445,POINT (142.1730041503906250 -36.6697006225585938)
6921,Swan Hill Airport,Swan Hill,Australia,SWH,YSWH,-35.37580108642578,143.5330047607422,234,POINT (143.5330047607421875 -35.3758010864257812)
6922,Turtle Island Seaplane Base,Turtle Island,Fiji,TTL,NFUL,-16.966,177.368,0,POINT (177.3679999999999950 -16.9660000000000011)
6923,Dewadaru - Kemujan Island,Karimunjawa,Indonesia,KWB,WARU,-5.80091,110.47838,35,POINT (110.4783800000000014 -5.8009100000000000)
6924,Kongolo Airport,Kongolo,Congo (Kinshasa),KOO,FZRQ,-5.39444,26.99,1850,POINT (26.9899999999999984 -5.3944400000000003)
6925,Attopeu Airport,Attopeu,Laos,AOU,VLAP,14.814715357,106.821699142,344,POINT (106.8216991419999999 14.8147153570000008)
6928,São Miguel do Oeste Airport,Sao Miguel do Oeste,Brazil,SQX,SSOE,-26.78160095214844,-53.50350189208984,2180,POINT (-53.5035018920898366 -26.7816009521484411)
6929,Mason County Airport,Ludington,United States,LDM,KLDM,43.96250153,-86.40789795,646,POINT (-86.4078979500000059 43.9625015299999973)
6930,Reid-Hillview Airport of Santa Clara County,San Jose,United States,RHV,KRHV,37.332901001,-121.819000244,135,POINT (-121.8190002439999944 37.3329010010000033)
6931,Sohar Airport,Sohar,Oman,OHS,OOSH,24.38604,56.62541,20,POINT (56.6254100000000022 24.3860400000000013)
6932,Kadanwari Airport,Kadanwari,Pakistan,KCF,OPKW,27.1667003632,69.31670379639999,248,POINT (69.3167037963999917 27.1667003632000004)
6933,Sawan Airport,Sindh,Pakistan,RZS,OPSW,26.9662,68.878098,160,POINT (68.8780979999999943 26.9662000000000006)
